"","name","avg_rank","sd_rank","median_rank","duration","entry_age","gender","nationality"
"33","Alejandro Aguilar Machado",2,0,2,1,NA,"male","costa_rican"
"34","Gladys Wade",2,0,2,1,NA,"female","english"
"35","Vangala Shiva Ram",2,0,2,13,41,"male","indian"
"36","Pierre Waelbroeck-Rolin",2,0,2,6,28,"male","unknown"
"37","Abdul Waheed",2,0,2,84,29,"male","indian"
"38","Francisco Walker-Linares",3,1.4142135623731,3,1,35,"male","chilean"
"39","Jessie Irene Wall",2,0,2,14,36,"female","english"
"40","Bolton C.  Waller",2,0,2,1,NA,"male","irish"
"41","Ewan P. Wallis-Jones",2,0,2,1,NA,"male","english"
"42","Maurice Naessens",2,0,2,1,NA,"male","unknown"
"43","C.N. Nallamunthu Ammal",2,0,2,1,NA,"female","indian"
"44","Perihan Naci Eldeniz",2,0,2,1,NA,"female","turkish"
"45","Dattatraya Narayan Naravane",2,0,2,2,NA,"male","indian"
"46","Sarah Wambaugh",2,0,2,5,NA,"female","us-american"
"47","Frank Paul Walters",1.5,0.836660026534076,1,252,31,"male","english"
"48","Wojciech Wasiutynski",2,0,2,1,NA,"male","polish"
"49","Pierre Henry Watier",1,0,1,6,55,"male","french"
